Date,Return1,Return2,rsi2,macd2,obv2,rsi1,macd1,obv1,Hedge Ratio,Half Life,Spread,ADF,Hedge Ratio Long,Half Life Long,Spread Long,ADF Long
2024-07-09 18:30:00+00:00,-0.00018511982076230282,0.0005862658206279292,54.81184224444855,0.03664619694144733,21225839,49.73909444539379,-0.13234127330244405,13500903,1.587383658671303,0.43666014625609434,0.10413800102668154,1.1596211447399549e-07,1.5946618723714507,0.4346671809047227,0.9906916997591965,0.2578383455623532
2024-07-09 19:30:00+00:00,-0.000277779329846517,-0.004110984747082824,48.21812257405308,0.024458442757975263,20954362,49.23805771636138,-0.11452976235833034,13348043,1.5870012150013437,0.4367653748515614,-0.9232849182665069,3.714769398978361e-08,1.5943602679334903,0.43474940670615125,0.8054160210551017,0.23257360906254476
2024-07-10 13:30:00+00:00,-0.0001852762090583937,-0.0013986710638862476,46.18790727289278,0.007052458851504184,20893360,48.88443015363356,-0.10086547480798913,13305707,1.5870613631072357,0.436748821862101,-1.1756887746536473,0.2948842420544986,1.5941443094474097,0.4348083021418658,0.7417143707637961,0.16829276479312355
2024-07-10 14:30:00+00:00,0.0036059342299408215,-0.003763940356465767,41.17637109804728,-0.027006739169564753,20836691,55.582171438173745,-0.05789930989139691,13360893,1.587505689893592,0.4366265802841978,-3.2298304481348397,0.9956815907193538,1.5940556450200045,0.4348324870122377,0.04090677875373915,0.026692885285117974
2024-07-10 15:30:00+00:00,0.0008764153009650499,4.72735968530813e-05,41.26241338796848,-0.05312851820794151,20885288,57.05823478465556,-0.01599809401869834,13422922,1.587845189185456,0.43653322457431815,-2.8877173234049387,0.9989904847725783,1.5939983733145684,0.43484811036451154,-0.11364917862590809,0.030253830950358163
2024-07-10 16:30:00+00:00,-0.0018921650739853746,0.00024840351236221636,41.74467616520814,-0.07164868120936774,20935767,52.967770514166844,0.0006593859571921712,13360283,1.5880912845421027,0.4364655780853314,-1.8554849478637625,0.5224604542907347,1.5938212665362104,0.43489643105737635,0.13536387697235,0.04179445339611229
2024-07-10 17:30:00+00:00,0.002214891010790865,0.0017725668633730152,45.205452035612396,-0.07576940256623743,20995227,56.86645055237778,0.032848341108575596,13388624,1.5884064688911768,0.4363789710852868,-2.0739721309408616,0.7059382538130285,1.5936862780843353,0.43493326766490803,-0.14460326192012105,0.08669078179413908
2024-07-10 18:30:00+00:00,0.0007371379003400236,-0.0001476221104121933,44.965676292530006,-0.07893231019394875,20885396,58.11275971066271,0.06407457173159514,13427816,1.588894367274623,0.43624497313114485,-2.0128254756319413,0.7752058422549416,1.5936309668257949,0.4349483631963808,-0.3268591164671714,0.23126862705377166
2024-07-10 19:30:00+00:00,0.0035860403423919607,0.0013274777422704886,47.65596201744559,-0.07333166317374662,21139551,63.63024370461233,0.11892043510640349,13558621,1.5897057577269764,0.43602231242530964,-2.4035126183348745,0.9354763518257144,1.5936189416326305,0.4349516452470312,-0.9116377474815142,0.264824992643019
2024-07-11 13:30:00+00:00,0.015573437183305394,0.013615617015738657,66.0986633117202,0.006080055140131435,21297995,77.57696852309331,0.2969464142400966,13644920,1.5905970246687304,0.4357779939292325,-3.3732424769961495,0.9989431096265321,1.593723103732052,0.4349232178016302,-2.6674778183162533,0.3727443337234533
